UserId,TaskId,DateCompletion
222,675,24-07-2022
876,644,02-10-2022
9,570,17-03-2023
878,276,04-12-2022
120,169,27-05-2022
970,556,21-07-2022
793,922,19-12-2022
90,25,20-11-2022
712,532,29-01-2023
5,983,04-03-2023
591,601,30-01-2023
13,512,08-01-2023
809,746,08-04-2023
91,119,02-03-2023
772,134,01-03-2023
222,730,12-09-2022
553,784,02-10-2022
942,553,05-11-2022
608,732,03-07-2022
464,588,08-09-2022
136,56,01-03-2023
586,718,24-10-2022
20,613,20-04-2023
588,49,22-09-2022
301,27,30-08-2022
313,966,13-09-2022
801,501,19-12-2022
245,821,31-05-2022
220,117,09-08-2022
201,517,18-06-2022
839,418,12-01-2023
146,984,09-08-2022
170,654,16-01-2023
403,180,15-04-2023
194,74,13-09-2022
370,880,20-03-2023
750,915,02-04-2023
55,811,08-10-2022
360,24,28-08-2022
780,608,05-03-2023
257,918,17-11-2022
388,11,30-01-2023
239,857,08-01-2023
120,104,26-08-2022
498,939,11-08-2022
925,812,26-09-2022
28,667,08-08-2022
435,449,20-07-2022
515,133,16-07-2022
455,617,09-02-2023
963,168,12-02-2023
654,632,12-03-2023
461,75,05-12-2022
135,365,11-02-2023
870,161,10-09-2022
210,909,14-12-2022
646,698,15-08-2022
911,593,13-11-2022
233,217,17-09-2022
917,16,30-07-2022
154,930,10-11-2022
725,486,17-10-2022
584,867,12-08-2022
49,821,16-09-2022
25,271,01-07-2022
459,672,06-02-2023
107,279,21-07-2022
774,337,13-12-2022
590,392,07-12-2022
80,410,18-10-2022
261,94,27-12-2022
897,669,11-08-2022
157,296,31-07-2022
486,658,23-03-2023
796,25,04-08-2022
682,511,26-03-2023
861,910,24-05-2022
333,213,28-05-2022
594,960,24-05-2022
123,208,15-05-2022
615,779,14-02-2023
620,427,29-04-2023
527,920,15-01-2023
366,568,02-07-2022
18,509,31-12-2022
497,513,12-11-2022
757,681,02-02-2023
608,390,12-03-2023
157,601,06-05-2023
57,696,10-10-2022
435,110,06-12-2022
803,881,28-01-2023
569,991,11-11-2022
443,350,03-05-2023
871,138,22-07-2022
840,296,23-10-2022
788,957,07-11-2022
959,882,18-12-2022
509,688,31-12-2022
804,259,24-06-2022
751,783,29-06-2022
419,674,03-12-2022
79,447,30-12-2022
30,984,31-03-2023
390,422,19-10-2022
251,984,20-09-2022
417,321,25-03-2023
211,28,02-07-2022
666,686,11-08-2022
188,55,09-11-2022
276,851,25-02-2023
742,256,10-12-2022
182,656,31-08-2022
637,4,20-01-2023
226,165,20-04-2023
656,370,07-08-2022
980,828,27-07-2022
482,762,01-03-2023
687,557,09-10-2022
218,692,17-07-2022
905,697,07-07-2022
261,56,08-03-2023
284,182,30-03-2023
346,130,13-01-2023
819,954,02-11-2022
346,322,15-04-2023
813,944,22-02-2023
428,399,07-09-2022
406,284,26-06-2022
3,981,16-12-2022
99,578,20-08-2022
