TaskId,Name,Description,DifficaltyLvl,TypeId
1,justo etiam pretium iaculis justo,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,61.1,6
2,eu interdum,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,83.28,9
3,dolor morbi vel lectus in,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,42.55,3
4,eget massa tempor,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,70.52,8
5,mauris non,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,98.57,7
6,faucibus orci luctus et,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,91.03,7
7,ut ultrices vel augue,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,83.55,5
8,sollicitudin vitae consectetuer eget,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,93.27,3
9,justo nec condimentum,odio condimentum id luctus nec molestie sed justo pellentesque viverra,61.86,2
10,ut suscipit,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,81.39,8
11,sed nisl nunc rhoncus,platea dictumst morbi,84.19,4
12,primis in faucibus,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,27.23,8
13,vestibulum aliquet ultrices erat,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,21.49,5
14,vivamus in felis,lorem integer tincidunt ante vel ipsum praesent blandit lacinia,10.72,7
15,nulla suscipit ligula in,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi,34.94,7
16,pede ullamcorper augue a suscipit,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,53.84,4
17,risus semper porta,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,18.92,5
18,condimentum neque sapien placerat ante,pellentesque volutpat dui maecenas tristique est et tempus semper est quam,71.59,9
19,leo,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,26.84,9
20,quam,tortor,91.68,7
21,donec posuere metus vitae,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,50.39,5
22,volutpat quam pede,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,90.34,4
23,ac nulla,parturient montes,73.45,6
24,posuere cubilia curae,quis turpis sed ante,53.77,5
