TaskId,WordId
341,871
75,297
74,414
829,398
634,959
98,892
713,394
134,45
266,19
869,55
181,157
958,309
801,686
804,4
665,956
702,155
65,138
124,778
1,803
321,65
285,134
929,495
429,562
803,183
1002,279
464,832
253,851
604,922
311,18
944,594
824,152
720,855
768,761
109,968
198,13
36,129
391,46
454,837
206,482
116,584
864,784
222,88
611,811
213,403
16,951
746,84
77,808
287,463
180,12
504,51
167,214
376,3
41,114
365,522
85,56
879,57
244,665
777,185
707,929
545,761
79,1005
287,66
638,682
245,87
235,888
187,903
22,514
871,922
670,498
290,532
84,12
723,807
63,592
39,511
402,235
990,883
888,633
732,137
829,668
552,724
385,344
299,837
357,26
281,375
869,374
711,702
7,443
950,373
226,707
940,8
553,546
191,196
504,241
882,957
372,783
349,661
573,378
581,355
640,109
229,878
811,191
213,908
484,115
586,24
956,296
51,285
911,929
957,135
89,138
37,767
114,59
305,259
46,399
921,499
631,1005
603,653
616,227
896,283
836,161
680,36
900,455
390,209
377,192
279,37
468,886
741,17
983,106
614,127
309,455
554,89
413,439
605,262
221,678
173,418
133,159
807,433
280,794
561,77
275,84
956,948
211,53
540,317
664,334
975,329
4,268
991,186
586,249
844,78
856,181
570,849
814,486
474,85
1001,391
989,442
942,563
870,195
633,683
801,589
653,479
191,288
929,772
597,177
141,28
673,83
81,71
614,224
440,293
36,7
323,809
264,314
868,853
328,959
762,576
814,147
74,325
378,254
251,545
288,741
957,267
981,916
772,895
608,74
173,535
55,874
192,85
621,618
686,943
518,735
402,271
210,21
416,222
865,119
253,129
681,88
470,339
972,68
350,938
557,672
89,415
90,695
939,714
191,602
428,24
75,625
150,764
636,36
549,702
276,571
678,998
569,694
371,255
577,701
286,585
84,227
814,902
239,28
632,336
292,294
899,52
335,58
506,176
746,448
426,99
184,127
465,427
65,77
156,296
691,46
141,202
164,769
656,536
237,393
358,952
110,132
515,508
348,376
127,322
904,147
579,729
351,94
839,695
651,763
1003,818
376,702
274,954
233,22
73,69
347,65
375,303
424,86
694,239
796,553
967,813
246,535
587,54
941,799
480,437
455,393
417,686
460,986
350,791
733,879
434,667
569,282
600,335
101,395
13,83
766,205
306,651
560,253
820,54
937,415
331,981
104,699
893,72
449,77
218,436
670,991
261,116
935,4
784,624
633,787
842,732
690,28
129,744
678,96
357,143
546,169
680,952
1003,756
3,199
295,469
80,366
137,759
606,38
924,93
85,582
169,295
934,723
572,121
796,29
950,146
658,161
217,9
645,915
175,362
822,545
413,998
795,808
241,397
173,807
560,447
38,132
415,73
725,713
625,658
112,182
225,708
417,3
78,67
434,368
493,218
63,716
611,596
938,379
38,766
769,24
838,917
553,783
550,163
46,521
336,746
997,57
16,547
401,31
663,713
701,413
858,386
925,868
384,761
349,79
550,941
779,95
521,617
191,495
84,9
86,358
860,858
962,308
296,141
588,15
923,822
783,367
349,241
92,934
599,746
84,725
792,45
861,407
96,907
744,491
575,809
599,88
102,735
29,616
851,223
517,179
384,327
624,467
610,96
738,391
555,279
219,89
819,83
400,738
864,22
343,801
108,348
679,144
434,247
509,181
62,612
472,458
75,543
616,471
125,285
942,614
510,863
699,312
1,63
136,714
661,913
192,696
50,318
727,443
84,321
823,27
886,683
768,394
114,276
712,639
173,738
617,278
404,444
168,667
637,961
481,452
957,528
570,479
830,211
399,666
513,479
673,918
841,517
972,382
446,789
869,216
785,443
184,657
15,361
57,698
200,358
309,874
144,193
530,748
579,803
970,337
667,297
985,526
638,666
405,729
556,105
96,559
983,697
886,503
795,8
470,48
417,487
529,738
457,4
63,584
688,998
398,223
465,661
362,469
12,661
665,71
816,545
139,196
544,872
866,955
24,875
963,672
542,385
823,142
654,28
299,26
832,716
228,561
107,223
166,913
52,656
88,128
724,569
987,367
75,192
976,993
272,257
1004,384
994,919
259,624
719,841
828,445
93,75
31,269
271,1006
931,464
702,303
766,464
301,636
984,743
25,49
307,1003
858,36
845,813
144,6
512,653
484,984
1009,163
753,649
672,166
944,175
417,782
993,526
653,158
392,889
447,139
305,253
247,696
946,657
888,529
1008,528
450,588
204,535
474,18
791,232
96,642
772,82
412,329
481,469
263,147
133,753
475,941
698,186
455,894
259,754
525,298
7,304
52,96
103,647
351,47
890,412
913,225
851,896
688,915
616,478
513,478
370,255
236,465
761,6
106,797
1000,751
863,358
585,1004
268,53
627,395
816,652
519,538
21,795
788,73
633,595
291,4
392,391
96,49
460,849
956,654
571,826
194,654
997,721
70,184
230,852
265,133
815,811
30,351
861,985
525,898
619,827
83,837
192,636
942,8
880,183
719,654
677,405
126,46
206,566
415,311
64,476
763,759
949,635
46,468
126,758
919,987
667,651
128,229
396,8
345,711
584,588
9,278
581,167
82,47
679,9
370,934
391,213
938,856
67,16
467,356
306,873
153,892
844,73
549,494
208,741
198,551
1009,808
32,396
578,277
654,53
694,248
321,25
803,894
331,906
507,528
710,286
904,74
592,174
701,37
525,331
496,21
927,81
207,764
297,814
83,31
473,563
174,573
336,975
1009,46
571,82
939,769
192,553
836,247
830,461
576,398
544,48
771,311
978,663
332,848
897,903
626,479
652,512
348,794
816,47
118,968
219,197
588,393
808,244
525,348
933,747
434,335
478,771
751,806
260,594
370,577
303,443
648,44
488,885
285,475
334,313
56,291
255,62
249,68
782,286
489,625
185,914
568,356
575,624
166,33
45,3
761,72
389,839
958,93
265,348
79,124
930,304
244,371
937,408
96,234
369,587
828,926
722,239
123,674
684,142
255,941
643,55
721,984
524,169
49,584
955,791
755,987
325,316
940,26
358,52
581,191
971,602
386,649
840,477
487,78
35,335
997,187
398,553
731,918
456,52
535,915
684,853
28,142
111,5
903,772
969,429
415,23
212,543
704,106
520,237
619,463
379,782
160,6
561,7
717,748
562,646
165,703
44,363
90,723
610,95
538,68
671,221
254,401
956,611
416,571
645,929
302,237
511,769
823,542
438,575
515,908
193,483
875,203
220,239
716,416
593,416
495,724
744,75
740,616
63,976
831,357
808,34
699,61
903,897
839,4
639,956
19,668
397,444
25,936
49,543
34,867
836,26
298,591
102,307
800,96
194,767
110,321
550,83
784,321
255,846
340,938
704,611
502,849
687,993
67,353
962,479
751,8
592,895
767,348
40,64
638,457
388,1008
255,13
246,405
451,258
743,885
593,177
259,123
142,1
540,853
1002,139
352,226
365,158
790,483
42,934
959,795
11,173
361,24
895,111
779,958
97,694
844,212
769,4
389,817
322,649
63,574
379,673
325,131
449,274
300,554
828,565
540,129
400,631
926,919
506,614
829,187
312,92
523,755
425,336
57,437
423,663
300,632
228,623
391,293
520,448
113,904
412,57
50,781
505,949
56,1004
489,234
795,882
51,689
551,895
567,215
944,724
840,184
984,14
253,516
636,105
20,562
727,216
210,87
446,888
582,633
919,576
259,229
713,4
152,828
764,72
126,297
839,978
365,26
314,222
136,402
868,827
609,491
631,508
122,76
394,336
171,597
384,231
676,69
920,551
680,808
433,437
980,5
558,207
410,685
374,89
552,596
975,518
62,54
873,665
479,238
51,563
532,4
808,51
854,521
203,638
255,4
536,177
499,429
545,307
223,874
466,839
441,387
760,642
366,691
125,603
703,402
149,66
334,209
831,407
267,233
949,232
213,982
984,5
450,703
189,608
871,546
684,571
323,66
770,667
723,622
991,269
997,59
276,1008
231,307
979,644
372,205
368,223
613,282
459,56
